ancestor,chromosome,no.ctg,no.GF,max.ctg.len,min.ctg.len,mean.ctg.len,median.ctg.len
1,1,60,1780,105,10,30,22
1,2,30,835,65,10,28,23
1,3,24,818,124,11,35,24.5
1,4,29,1182,302,10,41,20
1,5,37,1255,102,10,34,20
1,6,26,794,96,10,31,22
1,7,44,1524,127,10,35,24
,Total,250,8188,302,10,34,22


ancestor,chromosome,no.ctg,no.GF,max.ctg.len,min.ctg.len,mean.ctg.len,median.ctg.len
2,1,53,1592,83,13,31,24
2,2,32,930,85,13,30,22
2,3,29,744,68,14,26,24
2,4,32,1083,122,15,34,25.5
2,5,37,1359,153,14,37,30
2,6,22,690,67,14,32,25
2,7,45,1669,101,14,38,31
,Total,250,8067,153,13,33,25


ancestor,chromosome,no.ctg,no.GF,max.ctg.len,min.ctg.len,mean.ctg.len,median.ctg.len
3,1,47,1507,85,11,33,28
3,2,25,818,61,13,33,30
3,3,33,962,97,10,30,25
3,4,36,1511,130,13,42,32.5
3,5,42,1239,97,11,30,25
3,6,25,705,69,12,29,22
3,7,42,1352,126,12,33,22.5
,Total,250,8094,130,10,33,25


