"contig","order","chromosome"
74,1,1
70,2,1
122,3,1
55,4,1
174,5,1
111,6,1
25,7,1
167,8,1
101,9,1
92,10,1
117,11,1
179,12,1
47,13,1
95,14,1
176,15,1
103,16,1
66,17,1
243,18,1
35,19,1
125,20,1
219,21,1
104,22,1
126,23,1
124,24,1
80,25,1
4,26,1
187,27,1
139,28,1
118,29,1
121,30,1
78,31,1
10,32,1
240,33,1
226,34,1
83,35,1
245,36,1
58,37,1
51,38,1
200,39,1
141,40,1
155,41,1
99,42,1
12,43,1
207,44,1
186,45,1
128,46,1
212,47,1
14,48,1
171,49,1
6,50,1
144,51,1
233,52,1
163,53,1
244,54,1
130,55,1
149,56,1
236,57,1
170,58,1
246,59,1
85,60,1
222,1,2
135,2,2
134,3,2
175,4,2
109,5,2
105,6,2
227,7,2
79,8,2
94,9,2
189,10,2
107,11,2
199,12,2
183,13,2
37,14,2
50,15,2
100,16,2
46,17,2
146,18,2
71,19,2
225,20,2
28,21,2
132,22,2
165,23,2
29,24,2
73,25,2
27,26,2
77,27,2
217,28,2
215,29,2
247,30,2
30,1,3
60,2,3
87,3,3
160,4,3
211,5,3
136,6,3
178,7,3
204,8,3
91,9,3
232,10,3
102,11,3
108,12,3
159,13,3
88,14,3
64,15,3
2,16,3
196,17,3
13,18,3
195,19,3
41,20,3
152,21,3
188,22,3
75,23,3
31,24,3
197,1,4
65,2,4
115,3,4
209,4,4
20,5,4
32,6,4
18,7,4
206,8,4
241,9,4
90,10,4
82,11,4
44,12,4
69,13,4
72,14,4
234,15,4
142,16,4
157,17,4
210,18,4
229,19,4
0,20,4
216,21,4
17,22,4
235,23,4
242,24,4
230,25,4
3,26,4
96,27,4
223,28,4
201,29,4
184,1,5
158,2,5
68,3,5
224,4,5
202,5,5
198,6,5
162,7,5
161,8,5
205,9,5
145,10,5
169,11,5
220,12,5
36,13,5
137,14,5
148,15,5
16,16,5
123,17,5
166,18,5
84,19,5
114,20,5
228,21,5
49,22,5
133,23,5
181,24,5
7,25,5
81,26,5
112,27,5
24,28,5
239,29,5
42,30,5
5,31,5
203,32,5
9,33,5
143,34,5
238,35,5
11,36,5
34,37,5
140,1,6
154,2,6
39,3,6
62,4,6
120,5,6
110,6,6
138,7,6
156,8,6
67,9,6
61,10,6
86,11,6
214,12,6
151,13,6
53,14,6
129,15,6
89,16,6
249,17,6
8,18,6
168,19,6
21,20,6
191,21,6
172,22,6
33,23,6
221,24,6
131,25,6
231,26,6
56,1,7
180,2,7
127,3,7
153,4,7
116,5,7
40,6,7
147,7,7
52,8,7
23,9,7
173,10,7
76,11,7
192,12,7
150,13,7
177,14,7
106,15,7
57,16,7
208,17,7
26,18,7
59,19,7
38,20,7
237,21,7
193,22,7
164,23,7
218,24,7
182,25,7
190,26,7
45,27,7
119,28,7
194,29,7
63,30,7
43,31,7
248,32,7
113,33,7
54,34,7
97,35,7
98,36,7
93,37,7
48,38,7
22,39,7
213,40,7
185,41,7
1,42,7
15,43,7
19,44,7
